t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
1.6039229765e-01,-3.1402183201e-02,2.7485436196e-01,4.4715052061e-02,-4.7354196806e-03,1.0000002518e+00,-2.1116801175e-01,-1.5618210678e+00,2.3356578512e-01,-3.1845285845e-02,-3.0268532234e-06,2,0.0000000000e+00,1.5346508465e+00
1.6361972382e-01,-3.2077639514e-02,2.6976264040e-01,4.5462161984e-02,-4.8372818278e-03,1.0000002419e+00,-2.0738717940e-01,-1.5934643524e+00,2.2939043549e-01,-3.1274897999e-02,-3.0789369007e-06,2,0.0000000000e+00,1.5781511922e+00
1.6683606787e-01,-3.2738473265e-02,2.6458677911e-01,4.6193118724e-02,-4.9369380613e-03,1.0000002320e+00,-2.0351924630e-01,-1.6250128201e+00,2.2511841167e-01,-3.0691342307e-02,-3.1173265480e-06,2,0.0000000000e+00,1.6176429186e+00
1.7004076802e-01,-3.3384394354e-02,2.5932871366e-01,4.6907600166e-02,-5.0343445344e-03,1.0000002219e+00,-1.9957508480e-01,-1.6564604964e+00,2.2076172441e-01,-3.0096258682e-02,-3.1427735597e-06,2,0.0000000000e+00,1.6532749068e+00
1.7323523464e-01,-3.4015541861e-02,2.5398711969e-01,4.7605758900e-02,-5.1295221229e-03,1.0000002118e+00,-1.9556265194e-01,-1.6878207360e+00,2.1632916613e-01,-2.9490847364e-02,-3.1560277609e-06,2,0.0000000000e+00,1.6852143907e+00
1.7642177017e-01,-3.4632235461e-02,2.4855896106e-01,4.8287947302e-02,-5.2225189377e-03,1.0000002017e+00,-1.9148816915e-01,-1.7191156554e+00,2.1182761281e-01,-2.8876046831e-02,-3.1578160779e-06,2,0.0000000000e+00,1.7136271037e+00
1.7960156794e-01,-3.5234579469e-02,2.4304285433e-01,4.8954279540e-02,-5.3133506129e-03,1.0000001917e+00,-1.8735870444e-01,-1.7503564869e+00,2.0726487657e-01,-2.8252923409e-02,-3.1488613177e-06,2,0.0000000000e+00,1.7386584179e+00
1.8277446703e-01,-3.5822438305e-02,2.3743967996e-01,4.9604604402e-02,-5.4019966093e-03,1.0000001817e+00,-1.8318265493e-01,-1.7815411488e+00,2.0265023954e-01,-2.7622744118e-02,-3.1298995390e-06,2,0.0000000000e+00,1.7604380318e+00
1.8594040169e-01,-3.6395722506e-02,2.3175016643e-01,5.0238821678e-02,-5.4884433453e-03,1.0000001718e+00,-1.7896793874e-01,-1.8126684772e+00,1.9799245635e-01,-2.6986703852e-02,-3.1016599623e-06,2,0.0000000000e+00,1.7790946289e+00
1.8910034487e-01,-3.6954550266e-02,2.2597313580e-01,5.0857060885e-02,-5.5727085550e-03,1.0000001620e+00,-1.7472072022e-01,-1.8437475115e+00,1.9329834504e-01,-2.6345732976e-02,-3.0648367125e-06,2,0.0000000000e+00,1.7947595501e+00
1.9225571297e-01,-3.7499122487e-02,2.2010645846e-01,5.1459543066e-02,-5.6548224459e-03,1.0000001524e+00,-1.7044617625e-01,-1.8747916576e+00,1.8857363331e-01,-2.5700612936e-02,-3.0200932439e-06,2,0.0000000000e+00,1.8075599615e+00
1.9540736237e-01,-3.8029545051e-02,2.1414889733e-01,5.2046384163e-02,-5.7348008987e-03,1.0000001430e+00,-1.6614987973e-01,-1.9058088167e+00,1.8382448750e-01,-2.5052185032e-02,-2.9680872958e-06,2,0.0000000000e+00,1.8176144634e+00
1.9855549017e-01,-3.8545823448e-02,2.0810038722e-01,5.2617589060e-02,-5.8126446592e-03,1.0000001337e+00,-1.6183798662e-01,-1.9368004022e+00,1.7905771968e-01,-2.4401378668e-02,-2.9094773257e-06,2,0.0000000000e+00,1.8250355959e+00
2.0170033581e-01,-3.9047986390e-02,2.0196075657e-01,5.3173188351e-02,-5.8883579789e-03,1.0000001246e+00,-1.5751630517e-01,-1.9677682407e+00,1.7427975879e-01,-2.3749070873e-02,-2.8449013371e-06,2,0.0000000000e+00,1.8299334621e+00
